x1,x2,x1_old,x2_old,u
0.0,0.0,0.0,0.0,0
0.0,0.0,-0.19939294117951192,0.009108119194314201,1
0.0,0.0,-0.39878588235902385,0.018216238388628403,2
0.0,0.0,-0.5981788235385357,0.0273243575829426,3
0.0,0.0,-0.7975717647180477,0.036432476777256806,4
0.0,0.0,-0.9969647058975595,0.045540595971571014,5
0.0,0.0,-1.1963576470770714,0.0546487151658852,6
0.0,0.0,-1.3957505882565833,0.06375683436019942,7
0.0,0.0,-1.5951435294360954,0.07286495355451361,8
0.0,0.0,-1.794536470615607,0.0819730727488278,9
0.0,0.0,-1.993929411795119,0.09108119194314203,10
0.0,0.0,-2.193322352974631,0.10018931113745624,11
0.0,0.0,-2.3927152941541427,0.1092974303317704,12
0.0,0.0,-2.5921082353336544,0.11840554952608463,13
0.0,0.0,-2.7915011765131665,0.12751366872039885,14
0.0,0.0,-2.990894117692678,0.13662178791471305,15
0.0,0.0,-3.1902870588721908,0.14572990710902722,16
0.0,0.0,-3.3896800000517024,0.15483802630334148,17
0.0,0.0,-3.589072941231214,0.1639461454976556,18
0.0,0.0,-3.7884658824107262,0.17305426469196986,19
0.0,0.0,-3.987858823590238,0.18216238388628406,20
0.0,0.5,0.10020816267932416,0.5005638240943303,0
0.0,0.5,-0.09918477850018775,0.5096719432886445,1
0.0,0.5,-0.29857771967969965,0.5187800624829587,2
0.0,0.5,-0.4979706608592115,0.5278881816772729,3
0.0,0.5,-0.6973636020387235,0.5369963008715871,4
0.0,0.5,-0.8967565432182354,0.5461044200659013,5
0.0,0.5,-1.096149484397747,0.5552125392602155,6
0.0,0.5,-1.2955424255772592,0.5643206584545297,7
0.0,0.5,-1.494935366756771,0.5734287776488439,8
0.0,0.5,-1.694328307936283,0.5825368968431581,9
0.0,0.5,-1.8937212491157949,0.5916450160374723,10
0.0,0.5,-2.093114190295307,0.6007531352317865,11
0.0,0.5,-2.292507131474818,0.6098612544261007,12
0.0,0.5,-2.4919000726543303,0.6189693736204149,13
0.0,0.5,-2.6912930138338425,0.6280774928147291,14
0.0,0.5,-2.890685955013354,0.6371856120090433,15
0.0,0.5,-3.0900788961928662,0.6462937312033575,16
0.0,0.5,-3.2894718373723784,0.6554018503976717,17
0.0,0.5,-3.48886477855189,0.6645099695919859,18
0.0,0.5,-3.688257719731402,0.6736180887863001,19
0.0,0.5,-3.887650660910914,0.6827262079806143,20
0.0,1.0,0.2004163253586483,1.0011276481886606,0
0.0,1.0,0.0010233841791364162,1.010235767382975,1
0.0,1.0,-0.1983695570003755,1.019343886577289,2
0.0,1.0,-0.39776249817988735,1.0284520057716031,3
0.0,1.0,-0.5971554393593993,1.0375601249659174,4
0.0,1.0,-0.7965483805389112,1.0466682441602317,5
0.0,1.0,-0.995941321718423,1.0557763633545458,6
0.0,1.0,-1.1953342628979349,1.06488448254886,7
0.0,1.0,-1.394727204077447,1.0739926017431742,8
0.0,1.0,-1.5941201452569587,1.0831007209374885,9
